epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.926,1.18164,3.56282,1.67674,0.24454,0.16346,0.15271,0.07786,1.51812,3.63539,2.04089,0.000236275,0.000236275,0.000236275
2,1027.66,1.15387,3.0151,1.64206,0.1391,0.32844,0.11635,0.05466,1.58356,4.28135,2.06171,0.000380369,0.000380369,0.000380369
3,1251.5,1.17286,2.80506,1.6489,0.22035,0.20742,0.12992,0.06673,1.52815,3.07107,2.02235,0.000430214,0.000430214,0.000430214
4,1480.46,1.12067,2.57025,1.57849,0.28317,0.2433,0.2025,0.10748,1.4058,2.85708,1.91559,0.000289884,0.000289884,0.000289884
5,1705.74,1.09473,2.37465,1.5441,0.3669,0.27935,0.25963,0.14905,1.32458,2.66933,1.76526,0.000148512,0.000148512,0.000148512
